,X,Y
6x12,1428.368,3182.731
7x12,1712.8,3192.929
11x13,2887.297,3470.4770000000008
5x13,1155.408,3469.7270000000008
6x13,1421.4520000000002,3469.41
7x13,1729.836,3468.428
8x13,1990.07,3469.995
9x13,2322.652,3474.822
12x13,3209.522,3483.329
10x13,2584.557,3482.906
6x14,1395.313,3736.864
15x14,4095.109,3740.689
10x14,2576.925,3753.078
11x14,2890.1220000000008,3762.708
5x14,1158.813,3760.379
9x14,2326.33,3759.363
16x14,4341.113,3761.268
13x14,3471.078,3767.68
17x14,4618.939,3764.804
7x14,1731.245,3767.009
14x14,3752.503,3766.74
8x14,2011.364,3768.689
12x14,3205.958,3782.142
18x15,4916.9659999999985,4046.4
11x15,2898.143,4051.554
19x15,5213.206,4050.932
16x15,4328.24,4050.015
6x15,1423.064,4054.008
17x15,4620.208,4051.552
5x15,1147.323,4056.198
8x15,2013.796,4055.829
7x15,1730.352,4059.345
9x15,2326.854,4062.656
13x15,3480.022,4061.536
14x15,3762.355,4062.176
10x15,2584.071,4068.612
15x15,4073.491,4068.219
12x15,3209.896,4074.967
22x16,6084.539000000002,4339.325
16x16,4342.803,4337.948
11x16,2873.5490000000004,4346.278
20x16,5532.199000000001,4341.661
21x16,5786.425,4348.714
9x16,2335.843,4341.627
17x16,4619.431,4346.983
19x16,5216.519,4347.016
24x16,6697.111,4346.1190000000015
18x16,4913.7559999999985,4349.917
5x16,1142.093,4345.511
6x16,1426.496,4350.195
8x16,2016.308,4349.875
10x16,2584.042,4352.324000000001
7x16,1716.556,4351.344
15x16,4077.06,4356.343
14x16,3762.079,4356.715
13x16,3494.263,4360.487
23x16,6400.523,4363.691
12x16,3216.0490000000004,4370.304
22x17,6089.46,4627.635
27x17,7549.571999999999,4623.88
16x17,4349.251,4626.262
11x17,2893.611,4630.149
18x17,4919.048,4632.858
20x17,5528.575,4633.222
8x17,2026.842,4636.639
9x17,2325.968,4635.51
19x17,5210.981,4634.723
7x17,1715.776,4636.338
17x17,4622.458,4635.486
28x17,7827.385,4636.181
25x17,6971.717,4637.681
21x17,5782.979,4635.276
5x17,1146.165,4642.199000000001
10x17,2586.315,4641.427
6x17,1427.264,4639.604
14x17,3748.533,4640.191
24x17,6711.061,4643.515
26x17,7247.14,4646.952
23x17,6405.761,4649.886
13x17,3497.366,4650.259
15x17,4053.559,4651.269
12x17,3204.103,4661.48
22x18,6091.523,4915.365
29x18,8124.219,4918.175
31x18,8732.319,4920.848
28x18,7827.888000000001,4921.687
27x18,7548.446999999999,4920.5059999999985
8x18,2022.846,4927.79
11x18,2899.601,4923.357
20x18,5525.36,4923.958
30x18,8416.01,4923.233
18x18,4918.695,4926.8420000000015
25x18,6988.963000000002,4928.449000000001
14x18,3785.082,4929.651
15x18,4046.053,4924.025
16x18,4356.252,4924.106
21x18,5784.209,4930.663
17x18,4623.019,4927.803
5x18,1155.422,4929.605
6x18,1428.914,4933.434
9x18,2320.386,4929.132000000001
19x18,5218.411,4933.259
10x18,2590.871,4938.755
26x18,7257.836999999998,4930.29
12x18,3217.699,4942.016
